Cell Number,Trial Number,Stimulus Diameter,Spike Count,Layer
cell0,17,0.20000000000000004,10.0,b'LSG'
cell0,17,0.4000000000000001,11.0,b'LSG'
cell0,17,0.5,11.0,b'LSG'
cell0,17,0.6000000000000001,15.0,b'LSG'
cell0,17,0.8000000000000002,14.0,b'LSG'
cell0,17,1.0,15.0,b'LSG'
cell0,17,1.2000000000000002,22.0,b'LSG'
cell0,17,1.4999999999999998,15.0,b'LSG'
cell0,17,1.8000000000000003,17.0,b'LSG'
cell0,17,1.9999999999999998,19.0,b'LSG'
cell0,17,2.4000000000000004,7.0,b'LSG'
cell0,17,3.0000000000000004,14.0,b'LSG'
cell0,17,3.5000000000000004,6.0,b'LSG'
cell0,17,5.000000000000001,12.0,b'LSG'
cell0,17,10.000000000000002,11.0,b'LSG'
cell0,17,15.0,9.0,b'LSG'
cell0,17,20.000000000000004,6.0,b'LSG'
cell0,17,26.000000000000007,6.0,b'LSG'
cell0,18,0.10000000000000002,3.0,b'LSG'
cell0,18,0.20000000000000004,16.0,b'LSG'
cell0,18,0.4000000000000001,10.0,b'LSG'
cell0,18,0.5,9.0,b'LSG'
cell0,18,0.6000000000000001,18.0,b'LSG'
cell0,18,0.8000000000000002,13.0,b'LSG'
cell0,18,1.0,22.0,b'LSG'
cell0,18,1.2000000000000002,16.0,b'LSG'
cell0,18,1.4999999999999998,10.0,b'LSG'
cell0,18,1.8000000000000003,21.0,b'LSG'
cell0,18,1.9999999999999998,17.0,b'LSG'
cell0,18,2.4000000000000004,5.0,b'LSG'
cell0,18,3.0000000000000004,13.0,b'LSG'
cell0,18,3.5000000000000004,23.0,b'LSG'
cell0,18,5.000000000000001,10.0,b'LSG'
cell0,18,10.000000000000002,11.0,b'LSG'
cell0,18,15.0,9.0,b'LSG'
cell0,18,20.000000000000004,8.0,b'LSG'
cell0,18,26.000000000000007,13.0,b'LSG'
cell0,19,0.10000000000000002,7.0,b'LSG'
cell0,19,0.20000000000000004,16.0,b'LSG'
cell0,19,0.4000000000000001,17.0,b'LSG'
cell0,19,0.5,12.0,b'LSG'
cell0,19,0.6000000000000001,15.0,b'LSG'
cell0,19,0.8000000000000002,9.0,b'LSG'
cell0,19,1.0,18.0,b'LSG'
cell0,19,1.2000000000000002,13.0,b'LSG'
cell0,19,1.4999999999999998,6.0,b'LSG'
cell0,19,1.8000000000000003,11.0,b'LSG'
cell0,19,1.9999999999999998,8.0,b'LSG'
cell0,19,2.4000000000000004,13.0,b'LSG'
cell0,19,3.0000000000000004,19.0,b'LSG'
cell0,19,3.5000000000000004,12.0,b'LSG'
cell0,19,5.000000000000001,8.0,b'LSG'
cell0,19,10.000000000000002,6.0,b'LSG'
cell0,19,15.0,8.0,b'LSG'
cell0,19,20.000000000000004,11.0,b'LSG'
cell0,19,26.000000000000007,6.0,b'LSG'
cell0,20,0.10000000000000002,5.0,b'LSG'
cell0,20,0.20000000000000004,17.0,b'LSG'
cell0,20,0.4000000000000001,15.0,b'LSG'
cell0,20,0.5,14.0,b'LSG'
cell0,20,0.6000000000000001,19.0,b'LSG'
cell0,20,0.8000000000000002,16.0,b'LSG'
cell0,20,1.0,10.0,b'LSG'
cell0,20,1.2000000000000002,21.0,b'LSG'
cell0,20,1.4999999999999998,11.0,b'LSG'
cell0,20,1.8000000000000003,9.0,b'LSG'
cell0,20,1.9999999999999998,6.0,b'LSG'
cell0,20,2.4000000000000004,9.0,b'LSG'
cell0,20,3.0000000000000004,6.0,b'LSG'
cell0,20,3.5000000000000004,13.0,b'LSG'
cell0,20,5.000000000000001,8.0,b'LSG'
cell0,20,10.000000000000002,9.0,b'LSG'
cell0,20,15.0,12.0,b'LSG'
cell0,20,20.000000000000004,11.0,b'LSG'
cell0,20,26.000000000000007,15.0,b'LSG'
cell0,21,0.10000000000000002,8.0,b'LSG'
cell0,21,0.20000000000000004,8.0,b'LSG'
cell0,21,0.4000000000000001,17.0,b'LSG'
cell0,21,0.5,6.0,b'LSG'
cell0,21,0.6000000000000001,12.0,b'LSG'
cell0,21,0.8000000000000002,13.0,b'LSG'
cell0,21,1.0,14.0,b'LSG'
cell0,21,1.2000000000000002,13.0,b'LSG'
cell0,21,1.4999999999999998,26.0,b'LSG'
cell0,21,1.8000000000000003,3.0,b'LSG'
cell0,21,1.9999999999999998,30.0,b'LSG'
cell0,21,2.4000000000000004,9.0,b'LSG'
cell0,21,3.0000000000000004,9.0,b'LSG'
cell0,21,3.5000000000000004,13.0,b'LSG'
cell0,21,5.000000000000001,6.0,b'LSG'
cell0,21,10.000000000000002,9.0,b'LSG'
cell0,21,15.0,3.0,b'LSG'
cell0,21,20.000000000000004,8.0,b'LSG'
cell0,21,26.000000000000007,6.0,b'LSG'
cell0,1,0.10000000000000002,12.0,b'LSG'
cell0,1,0.20000000000000004,24.0,b'LSG'
cell0,1,0.4000000000000001,25.0,b'LSG'
cell0,1,0.5,26.0,b'LSG'
cell0,1,0.6000000000000001,28.0,b'LSG'
cell0,1,0.8000000000000002,24.0,b'LSG'
cell0,1,1.0,28.0,b'LSG'
cell0,1,1.2000000000000002,38.0,b'LSG'
cell0,1,1.4999999999999998,20.0,b'LSG'
cell0,1,1.8000000000000003,13.0,b'LSG'
cell0,1,1.9999999999999998,6.0,b'LSG'
cell0,1,2.4000000000000004,19.0,b'LSG'
cell0,1,3.0000000000000004,11.0,b'LSG'
cell0,1,3.5000000000000004,11.0,b'LSG'
cell0,1,5.000000000000001,3.0,b'LSG'
cell0,1,10.000000000000002,14.0,b'LSG'
cell0,1,15.0,8.0,b'LSG'
cell0,1,20.000000000000004,8.0,b'LSG'
cell0,1,26.000000000000007,8.0,b'LSG'
cell0,2,0.10000000000000002,6.0,b'LSG'
cell0,2,0.20000000000000004,22.0,b'LSG'
cell0,2,0.4000000000000001,22.0,b'LSG'
cell0,2,0.5,12.0,b'LSG'
cell0,2,0.6000000000000001,16.0,b'LSG'
cell0,2,0.8000000000000002,13.0,b'LSG'
cell0,2,1.0,16.0,b'LSG'
cell0,2,1.2000000000000002,18.0,b'LSG'
cell0,2,1.4999999999999998,21.0,b'LSG'
cell0,2,1.8000000000000003,3.0,b'LSG'
cell0,2,1.9999999999999998,22.0,b'LSG'
cell0,2,2.4000000000000004,10.0,b'LSG'
cell0,2,3.0000000000000004,12.0,b'LSG'
cell0,2,3.5000000000000004,14.0,b'LSG'
cell0,2,5.000000000000001,11.0,b'LSG'
cell0,2,10.000000000000002,3.0,b'LSG'
cell0,2,15.0,0.0,b'LSG'
cell0,2,20.000000000000004,15.0,b'LSG'
cell0,2,26.000000000000007,2.0,b'LSG'
cell0,3,0.10000000000000002,9.0,b'LSG'
cell0,3,0.20000000000000004,14.0,b'LSG'
cell0,3,0.4000000000000001,18.0,b'LSG'
cell0,3,0.5,16.0,b'LSG'
cell0,3,0.6000000000000001,17.0,b'LSG'
cell0,3,0.8000000000000002,13.0,b'LSG'
cell0,3,1.0,14.0,b'LSG'
